English,French,Italian,Spanish,Part of Speech
book,livre,libro,libro,noun
tree,arbre,albero,árbol,noun
store,magasin,negozio,tienda,noun
school,école,scuola,escuela,noun
comptuter,ordinateur,computer,ordenador,noun
bubble,bulle,bolla,burbuja,noun
coffee,café,caffè,café,noun
fire,feu,fuoco,fuego,noun
eat,manger,mangiare,comer,verb
sing,chanter,cantare,cantar,verb
drive,conduire,guidare,conducir,verb
walk,marcher,camminare,caminar,verb
study,étudier,studiare,estudiar,verb
run,courir,correre,correr,verb
difficult,difficile,difficile,difícil,adjective
quiet,doux,piano,suave,adjective
musical,musical,musicale,musical,adjective
young,jeune,giovane,joven,adjective
strong,fort,forte,fuerte,adjective
beautiful,beau,bello,hermoso,adjective
cold,froid,freddo,frío,adjective
always,toujours,sempre,siempre,adverb
slowly,lentement,lentamente,despacio,adverb
tomorrow,demain,domani,mañana,adverb
quickly,rapidement,velocemente,rápidamente,adverb
behind,derrière,indietro,detrás,adverb
never,jamais,mai,nunca,adverb
gingerly,avec pr�caution,con cautela,cautelosamente ,adverb
